mnn,trade_name,drug_id,file_name
Бевацизумаб,Версаво,83a1a409-cf70-4992-ba3b-277f8a552b8c,87b97616-7a9c-4e32-bb7d-2ce83a83cff7.pdf
Бендамустин,РОЗУСТИН,4fc85991-36e5-4218-897e-289451076f6c,7bfdce68-c730-4d69-8613-b53dacb364c3.pdf
Бендамустин,Бендамустин,efdfa58e-a58e-4ae6-b313-2815d48c9a56,3baf33a6-4020-4d89-91e6-fac72f9bd0fd.pdf
Бендамустин,КОВАДА,afb37ea0-bbcc-4162-93d3-9bba42b6ed40,4136123e-fb3f-46a4-9def-aa1517f4d70a.pdf
Бендамустин,Бендамустин Канон,1149a62d-db62-4da4-9797-e4dd8f1b459a,4c592294-7420-4c6e-8f60-721911f728e5.pdf
Бендамустин,МЕРКУДИЕС,84094df2-e43f-4527-a79c-d653be683050,536f4f8b-f2f4-48cf-8e29-a733e166c2a5.pdf
Бендамустин,Бендамустин-ТЛ,497e0aa2-6eef-41fa-a757-d2a620a9a6a3,704b4eca-7828-4cf8-ad20-68f11299dd88.pdf
Бендамустин,БЕНДАМУСТИН-ПРОМОМЕД,cdef46cf-96c9-4f1e-8a87-582eb0ce7bd5,7471c9a3-15e3-4a55-9840-6b2dd1f98f78.pdf
Бендамустин,Бендамустин,614a51fa-6b45-406b-91f3-665cfc7bc0a1,7dd7abb0-5932-4476-9a31-5375c903d666.pdf
Бендамустин,ГРАСТИГЕН,2a4e1044-d301-485f-a0ec-2309e8383538,ЛП-006064[2020]_0.pdf
Бикалутамид,Бикана,ecc7b491-aa50-4bdf-abc5-12fad95f1ac2,026f142c-5b7e-4275-bb05-8439a9a7c92a.pdf
Бикалутамид,Касодекс,41d14db1-d8a8-4aed-b013-43dbd36d5270,82bd03aa-5e27-4c94-bd3e-b49418e60edb.pdf
Бикалутамид,Касодекс,8c6afc8b-dc0a-49ea-ab3f-30112122b260,b355dfd5-ae69-4d24-846d-0f82adfb0fc6.pdf
Бикалутамид,Бикалутамид Канон,bb36c024-2152-4067-8652-bc5ae9378f97,bb8b2ac3-66fe-4bee-a48c-4152acb9043b.pdf
Бикалутамид,Андроблок,de965fc7-129a-4b68-883d-0528ccf16cda,40b224fb-f79e-4b05-a7a0-882b48c7bb80.pdf
Бикалутамид,Касодекс,2922b18c-a1d1-4a04-b70f-ae6623dcbef2,44863a63-8baf-446a-a044-79fc1e43e299.pdf
